Id,Start,Name,Impact,Currency
caf533f7-d83a-44e1-b796-8d1c351888f0,01/01/2022 05:00:00,New Year's Day,NONE,USD
f3728c68-83e4-4714-b1a3-1d5a201c2eb5,01/17/2022 05:00:00,Martin L. King's Birthday,NONE,USD
596a6643-0a54-4cc0-b63c-da87ff84541e,02/21/2022 05:00:00,Presidents' Day,NONE,USD
90810fd2-233e-4316-a65c-3af7fe0932cb,04/15/2022 05:00:00,Good Friday,NONE,USD
c8bbe377-9546-40d7-967f-fb64d7c3d71a,05/30/2022 05:00:00,Memorial Day,NONE,USD
68dd8665-93e9-4afd-9460-afe563f8e114,06/20/2022 05:00:00,Juneteenth,NONE,USD
efeaf96f-fea5-4146-84f3-563c809da90b,07/04/2022 05:00:00,Independence Day,NONE,USD
52eeb695-f4d0-42d1-acea-30414006e629,09/05/2022 05:00:00,Labor Day,NONE,USD
bc0b87a6-7313-412e-abd7-a72783067056,10/10/2022 05:00:00,Columbus Day,NONE,USD
db2b76ed-8556-4484-acf1-3cf1e8df4bb1,11/11/2022 05:00:00,Veterans Day,NONE,USD
1c93d4f8-16d0-4f2b-894c-74039aaae62e,11/24/2022 05:00:00,Thanksgiving Day,NONE,USD
4d3300ad-c168-4a5f-a4ac-a60a338e63c4,01/01/2023 05:00:00,New Year's Day,NONE,USD
3538e790-936b-4ba1-ad5d-d3138fb17252,01/16/2023 05:00:00,Martin L. King's Birthday,NONE,USD
8afa2696-d7ff-48dc-9aed-07f2127be5a8,02/20/2023 05:00:00,Presidents' Day,NONE,USD
e507815d-93c8-4d6c-9197-cf7e315c70bf,04/07/2023 05:00:00,Good Friday,NONE,USD
8a70e105-8160-4a2c-81e7-448a7660fd67,05/29/2023 05:00:00,Memorial Day,NONE,USD
daa79b5d-20f3-4870-850d-9139ec529ed3,06/19/2023 05:00:00,Juneteenth,NONE,USD
2d3b4aa6-c086-4851-b669-0ba465eee6d4,07/04/2023 05:00:00,Independence Day,NONE,USD
d432e054-6c60-4af2-9a66-4600bc84f957,09/04/2023 05:00:00,Labor Day,NONE,USD
2a8d2001-8957-4667-b6fa-5fdb8ffac24d,10/09/2023 05:00:00,Columbus Day,NONE,USD
97ddf0b4-3733-476f-8660-a79bf8e72320,11/11/2023 05:00:00,Veterans Day,NONE,USD
29558d51-4db4-43d3-ac0b-0888a6fd3f37,11/23/2023 05:00:00,Thanksgiving Day,NONE,USD
c72ed844-5cd6-4693-97af-c0f3bcee3c8b,12/25/2023 05:00:00,Christmas Day,NONE,USD
